Location,PricePSF,LocationPremium
Vishal Enclave,5282.506259734627,2.175149636361317
West End,7957.79452999253,3.2767389241145715
West Punjabi Bagh,5758.567232922496,2.371174742968087
West Sagarpur,5833.333333333333,2.4019607843137254
Zakir Nagar,15277.777777777777,6.290849673202614
greater kailash Enclave 1,11515.151515151516,4.741532976827095
i p extension patparganj,11607.37812911726,4.779508641401225
mayur vihar phase 1,7700.73599240266,3.1708912909893305
nawada,5772.095674304582,2.3767452776548277
param puri,8001.895328931278,3.2948980766187614
vikaspuri,8611.111111111111,3.5457516339869284
